,st_time,t10s,t20m
0,2016-01-01 00:00:38,7,2
1,2016-01-01 00:01:38,2,2
2,2016-01-01 00:02:38,2,2
3,2016-01-01 00:03:38,1,2
4,2016-01-01 00:04:38,2,2
5,2016-01-01 00:05:38,7,2
6,2016-01-01 00:06:38,2,2
7,2016-01-01 00:07:38,2,2
8,2016-01-01 00:08:38,2,2
9,2016-01-01 00:09:38,2,2
10,2016-01-01 00:10:38,2,2
11,2016-01-01 00:11:38,1,2
12,2016-01-01 00:12:38,2,2
13,2016-01-01 00:13:38,2,2
14,2016-01-01 00:14:38,2,2
15,2016-01-01 00:15:38,2,2
16,2016-01-01 00:16:38,2,2
17,2016-01-01 00:17:38,4,2
18,2016-01-01 00:18:38,2,2
19,2016-01-01 00:19:38,1,2
20,2016-01-01 00:20:38,2,2
21,2016-01-01 00:21:38,2,2
22,2016-01-01 00:22:38,2,2
23,2016-01-01 00:23:38,1,2
24,2016-01-01 00:24:38,1,2
25,2016-01-01 00:25:38,2,2
26,2016-01-01 00:26:38,2,2
27,2016-01-01 00:27:38,2,2
28,2016-01-01 00:28:38,2,2
29,2016-01-01 00:29:38,1,2
30,2016-01-01 00:30:38,2,2
31,2016-01-01 00:31:38,2,2
32,2016-01-01 00:32:38,2,2
33,2016-01-01 00:33:38,2,2
34,2016-01-01 00:34:38,2,2
35,2016-01-01 00:35:38,3,2
36,2016-01-01 00:36:38,1,2
37,2016-01-01 00:37:38,2,2
38,2016-01-01 00:38:38,2,2
39,2016-01-01 00:39:38,1,2
40,2016-01-01 00:40:38,3,2
41,2016-01-01 00:41:38,2,2
42,2016-01-01 00:42:38,2,2
43,2016-01-01 00:43:38,2,2
44,2016-01-01 00:44:38,2,2
45,2016-01-01 00:45:38,2,2
46,2016-01-01 00:46:38,2,2
47,2016-01-01 00:47:38,1,2
48,2016-01-01 00:48:38,2,2
49,2016-01-01 00:49:38,2,2
50,2016-01-01 00:50:38,3,2
51,2016-01-01 00:51:38,1,2
52,2016-01-01 00:52:38,2,2
53,2016-01-01 00:53:38,1,2
54,2016-01-01 00:54:38,2,2
55,2016-01-01 00:55:38,3,2
56,2016-01-01 00:56:38,2,2
57,2016-01-01 00:57:38,2,2
58,2016-01-01 00:58:38,2,2
59,2016-01-01 00:59:38,1,2
60,2016-01-01 01:00:38,6,2
61,2016-01-01 01:01:38,2,2
62,2016-01-01 01:02:38,2,2
63,2016-01-01 01:03:38,2,2
64,2016-01-01 01:04:38,2,2
65,2016-01-01 01:05:38,3,2
66,2016-01-01 01:06:38,2,2
67,2016-01-01 01:07:38,2,2
68,2016-01-01 01:08:38,1,2
69,2016-01-01 01:09:38,2,2
70,2016-01-01 01:10:38,3,2
71,2016-01-01 01:11:38,2,2
72,2016-01-01 01:12:38,2,2
73,2016-01-01 01:13:38,1,2
74,2016-01-01 01:14:38,2,2
75,2016-01-01 01:15:38,3,2
76,2016-01-01 01:16:38,2,2
77,2016-01-01 01:17:38,2,2
78,2016-01-01 01:18:38,1,2
79,2016-01-01 01:19:38,2,2
80,2016-01-01 01:20:38,3,2
81,2016-01-01 01:21:38,2,2
82,2016-01-01 01:22:38,2,2
83,2016-01-01 01:23:38,2,2
84,2016-01-01 01:24:38,2,2
85,2016-01-01 01:25:38,4,2
86,2016-01-01 01:26:38,2,2
87,2016-01-01 01:27:38,2,2
88,2016-01-01 01:28:38,2,2
89,2016-01-01 01:29:38,2,2
90,2016-01-01 01:30:38,4,2
91,2016-01-01 01:31:38,2,2
92,2016-01-01 01:32:38,4,2
93,2016-01-01 01:33:39,1,2
94,2016-01-01 01:34:39,2,2
95,2016-01-01 01:35:39,3,2
96,2016-01-01 01:36:39,2,2
97,2016-01-01 01:37:39,2,2
98,2016-01-01 01:38:39,1,2
99,2016-01-01 01:39:39,2,2
100,2016-01-01 01:40:39,3,2
101,2016-01-01 01:41:39,2,2
102,2016-01-01 01:42:39,3,2
103,2016-01-01 01:43:39,2,2
104,2016-01-01 01:44:39,2,2
105,2016-01-01 01:45:39,4,2
106,2016-01-01 01:46:39,2,2
107,2016-01-01 01:47:39,2,2
108,2016-01-01 01:48:39,2,2
109,2016-01-01 01:49:39,1,2
110,2016-01-01 01:50:39,4,2
111,2016-01-01 01:51:39,9,2
112,2016-01-01 01:52:39,3,2
113,2016-01-01 01:53:39,2,2
114,2016-01-01 01:54:39,1,2
115,2016-01-01 01:55:39,4,2
116,2016-01-01 01:56:39,2,2
117,2016-01-01 01:57:39,2,2
118,2016-01-01 01:58:39,2,2
119,2016-01-01 01:59:39,1,2
120,2016-01-01 02:00:39,3,2
121,2016-01-01 02:01:39,1,2
122,2016-01-01 02:02:39,1,2
123,2016-01-01 02:03:39,2,2
124,2016-01-01 02:04:39,2,2
125,2016-01-01 02:05:39,4,2
126,2016-01-01 02:06:39,2,2
127,2016-01-01 02:07:39,2,2
128,2016-01-01 02:08:39,2,2
129,2016-01-01 02:09:39,2,2
130,2016-01-01 02:10:39,4,2
131,2016-01-01 02:11:39,2,2
132,2016-01-01 02:12:39,2,2
133,2016-01-01 02:13:39,2,2
